Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
43,43,IND,Joseph Young,University of Oregon,2,74,519,222,67,80,0.365,0.217,0.775,7,3,0.9,1.1,-0.1,-0.012,-5.9,-0.5
44,44,PHO,Andrew Harrison,University of Kentucky,1,72,1474,425,136,198,0.325,0.276,0.763,20.5,5.9,1.9,2.8,1.6,0.051,-2.5,-0.2
45,45,BOS,Marcus Thornton,College of William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,"University of California, Los Angeles",2,125,2093,909,279,129,0.441,0.351,0.797,16.7,7.3,2.2,1,4.3,0.1,-1.1,0.5
47,47,PHI,Arturas Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,University of Kentucky,,,,,,,,,,,,,,,,,
49,49,WAS,Aaron White,University of Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington University,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's University,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Diez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State University,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-6.6,0
57,57,DEN,Nikola Radicevic,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,University of North Carolina,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrovic,,,,,,,,,,,,,,,,,,
